Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Miguel Cabrera","DET",93,270,247,63,45,14,0,4,14,23,20,0,51,1,2,0,8,0,0,0.255060728,1744
"Total","David Peralta","2 Tms",169,478,444,110,73,27,1,9,53,60,26,1,81,2,6,0,10,4,0,0.247747747,2136
"Total","Adam Wainwright","STL",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2233
"Total","Carlos Santana","3 Tms",226,725,644,148,83,39,1,25,77,88,76,1,124,3,2,0,14,7,0,0.229813664,2396
"Total","Nelson Cruz","SDP",33,62,59,15,10,2,1,2,3,10,2,0,17,1,0,0,1,1,0,0.254237288,2434
"Total","Manny Pina","OAK",3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333,2829
"Total","Roberto Perez","SFG",4,12,12,1,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0.083333333,2900
"Total","Tommy Pham","3 Tms",173,526,477,125,83,29,3,10,56,60,44,0,117,2,3,0,7,17,4,0.262054507,2967
"Total","Charlie Culberson","ATL",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3298
"Total","Anthony Rizzo","NYY",163,546,486,109,74,16,0,19,64,56,44,1,119,14,2,0,12,0,3,0.224279835,3473
"Total","Eric Hosmer","CHC",27,78,74,19,15,2,0,2,7,10,4,0,20,0,0,0,5,0,0,0.256756756,3516
"Total","Michael Brantley","HOU",15,45,43,12,8,2,0,2,5,7,1,0,2,0,1,0,2,0,0,0.279069767,4106
"Total","Joey Votto","CIN",63,185,163,32,17,5,0,10,18,29,18,0,49,4,0,0,1,0,0,0.196319018,4314
"Total","Mike Moustakas","2 Tms",109,310,280,71,47,13,0,11,37,40,21,1,75,2,7,0,6,0,0,0.253571428,4892
"Total","Jason Heyward","LAD",167,490,428,109,62,28,2,17,64,59,47,1,76,7,5,0,10,5,2,0.254672897,4940
"Total","Giancarlo Stanton","NYY",162,546,490,100,51,17,0,32,57,87,52,2,179,3,1,0,17,0,0,0.204081632,4949
"Total","Josh Donaldson","2 Tms",44,133,114,14,5,2,0,7,9,12,17,0,35,0,2,0,3,0,0,0.122807017,5038
"Total","Justin Turner","2 Tms",220,722,635,161,113,28,0,20,90,91,64,0,127,15,8,0,20,3,2,0.253543307,5235
"Total","Robbie Grossman","2 Tms",133,369,317,63,42,16,1,4,41,26,45,0,86,2,5,0,8,2,0,0.19873817,5254
"Total","Sandy Leon","TEX",15,36,33,5,4,1,0,0,3,3,1,0,17,1,0,1,1,0,0,0.151515151,5273
"Total","Aaron Hicks","3 Tms",102,284,247,51,38,7,1,5,36,24,36,0,70,0,1,0,3,5,0,0.206477732,5297
"Total","Brandon Crawford","2 Tms",111,309,269,50,31,12,1,6,28,29,32,1,75,4,4,0,5,3,0,0.185873605,5343
"Total","Freddie Freeman","LAD",241,803,680,221,129,61,3,28,138,110,101,18,126,14,8,0,14,15,2,0.325,5361
"Total","Jose Altuve","HOU",181,621,564,174,123,25,1,25,94,82,51,0,117,5,1,0,12,21,3,0.308510638,5417
"Total","Ji Man Choi","2 Tms",36,95,85,15,5,5,0,5,10,9,8,0,23,1,1,0,1,0,0,0.176470588,5452
"Total","Abraham Almonte","NYM",6,14,13,1,0,1,0,0,1,0,1,0,7,0,0,0,0,0,0,0.076923076,5486
"Total","Kyle Higashioka","2 Tms",106,278,258,60,36,10,0,14,28,43,17,0,78,0,2,1,5,0,0,0.232558139,5517
"Total","Avisail Garcia","MIA",37,86,79,15,11,1,0,3,6,9,3,1,25,2,0,0,1,2,0,0.189873417,5760
